Date,Close/Last,Volume,Open,High,Low
01/17/2020,56.94,14264300,56.87,57.15,56.8
01/16/2020,56.82,10234420,56.85,56.95,56.605
01/15/2020,56.7,17735380,56,56.98,56
01/14/2020,56,16347160,56.24,56.292,55.83
01/13/2020,56.13,14303170,55.53,56.23,55.42
01/10/2020,55.53,13041110,55.48,55.93,55.45
01/09/2020,55.34,15410150,55,55.395,54.839
01/08/2020,54.35,10676710,54.27,54.64,54.15
01/07/2020,54.25,10230670,54.45,54.6,54.15
01/06/2020,54.67,14698440,54.65,54.905,54.52
01/03/2020,54.69,11354500,54.32,54.99,54.09
01/02/2020,54.99,11099120,55.32,55.43,54.76
12/31/2019,55.35,7982821,55.2,55.38,54.98
12/30/2019,55.27,6432611,55.18,55.385,55.06
12/27/2019,55.35,6895612,55.01,55.445,55
12/26/2019,55.02,6228683,54.92,55.02,54.79
12/24/2019,54.71,3359259,54.8,55,54.64
12/23/2019,54.91,9300763,55,55.24,54.84
12/20/2019,54.97,23833290,54.94,55.2,54.47
12/19/2019,54.32,15150940,54.04,54.34,53.92
12/18/2019,53.91,15132350,54.53,54.75,53.885
12/17/2019,54.42,9230076,54.4,54.58,54.29
12/16/2019,54.42,9538429,54.69,54.83,54.37
12/13/2019,54.42,13072400,53.94,54.55,53.84
12/12/2019,54.14,11233470,54.01,54.45,53.94
12/11/2019,53.95,8879196,53.94,54.15,53.66
12/10/2019,53.77,8994061,54.04,54.07,53.73
12/09/2019,54.07,13925130,54.3,54.51,54.02
12/06/2019,54.42,7843836,54.31,54.5,54.17
12/05/2019,54.19,14069780,54.21,54.29,53.83
12/04/2019,54.29,13624910,53.8,54.31,53.72
12/03/2019,53.8,15847770,53.71,53.84,53.4
12/02/2019,53.75,13182510,53.32,53.75,52.85
11/29/2019,53.4,7222347,53.7,53.725,53.22
11/27/2019,53.95,9596440,53.93,54.1,53.6
11/26/2019,53.9,13240290,53.31,53.94,53.22
11/25/2019,53.22,10965780,53.28,53.39,52.77
11/22/2019,53.03,9113348,52.96,53.1878,52.75
11/21/2019,52.96,7856139,53.11,53.34,52.775
11/20/2019,53.22,11970310,53.1,53.4,53.01
11/19/2019,53.08,12679740,53.15,53.31,52.87
11/18/2019,53.03,13783410,52.68,53.44,52.67
11/15/2019,52.67,8982554,52.64,52.68,52.375
11/14/2019,52.63,8660825,52.53,52.67,52.35
11/13/2019,52.41,12538460,52.18,52.45,51.9612
11/12/2019,51.71,12656900,51.91,51.91,51.5831
11/11/2019,51.84,8198919,52.33,52.37,51.775
11/08/2019,52.21,7141931,52.46,52.6,52.09
11/07/2019,52.29,11725820,52.88,53,51.96
11/06/2019,52.8,13288900,52.53,52.8,52.41
11/05/2019,52.42,19283970,52.89,52.89,52.12
11/04/2019,53.14,17515050,53.96,54,52.97
11/01/2019,53.9,9889529,54.63,54.74,53.85
10/31/2019,54.43,13981960,53.96,54.47,53.85
10/30/2019,53.94,8620879,53.52,54.05,53.16
10/29/2019,53.41,7999726,53.39,53.66,53.26
10/28/2019,53.57,8866055,53.74,53.95,53.37
10/25/2019,53.75,9782440,54.55,54.56,53.67
10/24/2019,54.61,11069470,54.57,54.817,54.485
10/23/2019,54.64,8648741,54.06,54.66,54.01
10/22/2019,53.85,9618980,54.23,54.42,53.74
10/21/2019,54.23,12879180,54.45,54.56,53.68
10/18/2019,54.78,18122510,55,55.39,54.45
10/17/2019,53.79,13336940,53.69,54.12,53.58
10/16/2019,53.49,10675920,53.46,53.57,53.1341
10/15/2019,53.51,9575426,53.43,53.68,53.27
10/14/2019,53.3,7363270,53.49,53.68,53.22
10/11/2019,53.3,9433728,53.65,53.7,53.195
10/10/2019,53.66,9054321,53.55,53.88,53.36
10/09/2019,53.83,7168098,54.06,54.065,53.535
10/08/2019,53.58,13558240,53.88,54.07,53.45
10/07/2019,53.87,6105344,54.33,54.36,53.77
10/04/2019,54.54,9926618,54,54.54,53.89
10/03/2019,53.84,14206690,53.5,53.9773,52.8236
10/02/2019,53.08,15384000,54.21,54.435,52.9
10/01/2019,54.65,14650920,54.53,54.78,54.01
09/30/2019,54.44,9822826,54.15,54.68,54.15
09/27/2019,54.31,7941142,54.56,54.635,54
09/26/2019,54.39,11252680,54.47,54.575,54.13
09/25/2019,54.17,10289530,54.44,54.48,54
09/24/2019,54.3,10336540,54.25,54.61,54.04
09/23/2019,54.14,6837554,53.91,54.36,53.88
09/20/2019,53.91,19349480,54.69,54.69,53.9
09/19/2019,54.52,8088639,54.23,54.595,54.13
09/18/2019,54.23,9786556,54.2,54.285,53.82
09/17/2019,54.24,11402940,54.1,54.697,53.96
09/16/2019,53.96,11172000,54.1,54.34,53.63
09/13/2019,54.26,11486110,54.48,54.79,54.07
09/12/2019,55.11,12357890,55.1,55.31,54.98
09/11/2019,54.77,9740376,54.29,54.8,53.9696
09/10/2019,54.4,12038560,54.23,54.44,53.85
09/09/2019,54.52,10814950,55.03,55.08,54.36
09/06/2019,55.23,9093514,55.44,55.44,54.76
09/05/2019,55.12,13677160,55.75,55.77,55.03
09/04/2019,55.77,10733810,55.35,55.92,55.3
09/03/2019,55.3,12991500,54.98,55.33,54.87
08/30/2019,55.04,8746708,55.16,55.22,54.81
08/29/2019,55.05,9262980,55.26,55.34,54.6
08/28/2019,55.11,10052410,54.66,55.15,54.421
08/27/2019,54.72,13538720,54.7,54.945,54.41
08/26/2019,54.54,9227331,54,54.54,53.73
08/23/2019,53.74,14160660,54.42,54.71,53.39
08/22/2019,54.49,7467949,54.12,54.64,54.1
08/21/2019,54.1,10886650,54.25,54.41,53.85
08/20/2019,53.88,8176977,54.62,54.68,53.84
08/19/2019,54.69,10936540,54.44,54.78,54.31
08/16/2019,54.41,14288690,53.98,54.49,53.95
08/15/2019,53.87,12393220,53.43,54,53.23
08/14/2019,52.99,17088930,53.34,53.965,52.97
08/13/2019,53.5,8657591,52.9,53.61,52.87
08/12/2019,53.2,6588611,53.28,53.435,52.99
08/09/2019,53.42,9260870,53.79,53.9,53.08
08/08/2019,53.69,10799080,53.21,53.7835,52.85
08/07/2019,53.18,17937040,52.27,53.39,51.77
08/06/2019,52.27,19903080,51.87,52.759,51.61
08/05/2019,51.65,19986480,52.39,52.66,51.4
08/02/2019,52.33,13102310,51.91,52.73,51.91
08/01/2019,52.03,19527450,52.78,53.2,52.01
07/31/2019,52.63,16865530,53.51,53.51,52.04
07/30/2019,53.72,8127139,53.96,54.3,53.565
07/29/2019,53.99,12283930,54.17,54.295,53.9001
07/26/2019,54.17,11452090,53.34,54.31,53.19
07/25/2019,53.07,19134960,53.63,53.8,52.715
07/24/2019,53.78,15633380,54.12,54.82,53.62
07/23/2019,54.33,33417950,53.25,54.635,52.76
07/22/2019,51.22,12095780,51.52,51.52,51.13
07/19/2019,51.39,10355790,52.14,52.15,51.37
